"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","548","Login with correct email and password","LMS service","Tue Sep 23 12:33:59 UTC 2025","passed","Tue Sep 23 12:33:59 UTC 2025","Login","Authentication","",""
"","18","Get exercises","LMS service","Tue Sep 23 12:34:04 UTC 2025","passed","Tue Sep 23 12:34:04 UTC 2025","Get entities","Exercises","",""
"","261","Create file with empty directory","LMS service","Tue Sep 23 12:34:07 UTC 2025","passed","Tue Sep 23 12:34:07 UTC 2025","Validate entity","Files","",""
"","290","Get file","LMS service","Tue Sep 23 12:34:05 UTC 2025","passed","Tue Sep 23 12:34:05 UTC 2025","Get entity","Files","",""
"","563","Create file","LMS service","Tue Sep 23 12:34:04 UTC 2025","passed","Tue Sep 23 12:34:05 UTC 2025","Create entity","Files","",""
"","293","Update exercise","LMS service","Tue Sep 23 12:34:02 UTC 2025","passed","Tue Sep 23 12:34:02 UTC 2025","Update entity","Exercises","",""
"","285","Create user","LMS service","Tue Sep 23 12:34:07 UTC 2025","passed","Tue Sep 23 12:34:08 UTC 2025","Create entity","Users","",""
"","19","Get exercise","LMS service","Tue Sep 23 12:34:03 UTC 2025","passed","Tue Sep 23 12:34:03 UTC 2025","Get entity","Exercises","",""
"","19","Delete file","LMS service","Tue Sep 23 12:34:06 UTC 2025","passed","Tue Sep 23 12:34:06 UTC 2025","Delete entity","Files","",""
"","21","Create exercise","LMS service","Tue Sep 23 12:34:02 UTC 2025","passed","Tue Sep 23 12:34:02 UTC 2025","Create entity","Exercises","",""
"","258","Get file with incorrect file_id","LMS service","Tue Sep 23 12:34:05 UTC 2025","passed","Tue Sep 23 12:34:06 UTC 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Tue Sep 23 12:34:09 UTC 2025","passed","Tue Sep 23 12:34:09 UTC 2025","Get entity","Users","",""
"","272","Create file with empty filename","LMS service","Tue Sep 23 12:34:07 UTC 2025","passed","Tue Sep 23 12:34:07 UTC 2025","Validate entity","Files","",""
"","542","Create user","LMS service","Tue Sep 23 12:34:07 UTC 2025","passed","Tue Sep 23 12:34:07 UTC 2025","Create entity","Users","",""
"","37","Update course","LMS service","Tue Sep 23 12:33:59 UTC 2025","passed","Tue Sep 23 12:33:59 UTC 2025","Update entity","Courses","",""
"","285","Delete exercise","LMS service","Tue Sep 23 12:34:03 UTC 2025","passed","Tue Sep 23 12:34:04 UTC 2025","Delete entity","Exercises","",""
"","26","Create course","LMS service","Tue Sep 23 12:34:01 UTC 2025","passed","Tue Sep 23 12:34:01 UTC 2025","Create entity","Courses","",""
"","26","Get courses","LMS service","Tue Sep 23 12:34:01 UTC 2025","passed","Tue Sep 23 12:34:01 UTC 2025","Get entities","Courses","",""
"","553","Create user","LMS service","Tue Sep 23 12:34:07 UTC 2025","passed","Tue Sep 23 12:34:08 UTC 2025","Create entity","Users","",""
